,http://go-ship.org/RefSecs/GOSHIP_TableMay2010.pdf,,,https://docs.google.com/spreadsheet/ccc?key=0Aj_B1luotypidFlWR1AwbzE5VzB4Sm9OQlRXbXN3Wnc#gid=0,,,
Atlantic,,,,,,,
Section,reoccupied decadally?,Description (ship track),occ year,occ chisci,occ country,last occupation? (not next),cchdo cruise
A01E/AR7E,n,Greenland to Ireland,2007,G.-J. Brummer,Netherlands,y,64PE20070830
,,,2011,H. van Aken,Netherlands,n,
A01W / AR7W,n,"From Labrador to Greenland 53°N
56°W to 61°N 48°W; 1/year
(spring)",2009,R. Hendy,Canada,y,
,,,2009,M. Rhein,Canada,y,06M220090714
,,,2010,G. Harrison (Chief Sci / bio); I. Yashayaev (phys); K. Azetsu‐Scott (chem.),Canada,n,18HU20100513
,,,"2010 and 2011
(August)",M. Rhein,Germany,n,
A02 (SFB-460),n,"~ 48° N, Ireland to St John’s Bay,
Canada.",2007 (full line),M. Rhein,Germany,y,
,,,2009 (western part) ,M. Rhein,Germany,y,
,,,2010-13, M. Rhein,Germany,n,
A05,y,"24° N (note: this line is part of the
UK RAPID program with repeats
every ~ 5 years).",2004,S. Cunningham,UK,y,74DI20040404
,,,2010,Brian A King,UK,n,74DI20100106
,,,2010,P. Velez,Spain,n,
A9 1/2,y,24°S,2009,B. King,UK,y,
A10,y,30°S,2011,M. Baringer,USA,n,33RO20110926
A12,,"Capetown to the Antarctic
continent along the prime
meridian; often done in a pair with
SR04.",2008,E. Fahrbach / H. De Baar,Germany / Netherlands,y,06AQ20080210
,,,2011,E. Fahrbach / M. Hoppema,Germany / Netherlands,n,06AQ20101128
A13.5,y,0°; Cape Town to Ghana,2003,M. Hoppema,Germany,y,
,,,2010,J. Bullister,USA,n,33RO20100308
A16N,y,20-25° W Iceland to 5° S,2003,J. Bullister,USA,y,33RO200306_01
,,,2011,Brian King,UK,n,
,,,2012,R. Wanninkhof,USA,n,
A16S,y,"25-35° W, 5° S to 60° S",2005,R. Wanninkhof,USA,y,33RO200501
,,,2013,R. Wanninkhof,USA,n,
A20,y,52°W,2003,J. Toole,USA,y,316N200309
,,,2012,Michael McCartney,USA,n,33AT20120419
A21,y,Drake Passage,2009,E. McDonagh,UK,y,
,,,2009,C. Provost,"France (full physics, chem., and tracers)",y,
A22,y,66°W,2003,T. Joyce,USA,y,316N200310
,,,2012,Ruth Curry,USA,n,33AT20120324
FICARAM (A17),,"Ushuaia - Cartagena (Spain),
following part of the line WOCEA
A17 and from 10°S to 36°N along
28°W  ",2006,A. Rios,Spain,y,
,,,2013,A. Rios,Spain,n,
OVIDE (A25),,Iberian Peninsula - Greenland,2008,A. Rios,Spain,y,
,,,2010,H. Mercier,France,n,
"SR1b (eastern
passage)",,"Drake Passage
(note: SR1b repeated annually with
CTD, SADCP, LADCP)",2009,E. McDonagh,UK,y,
,,,2010,E. McDonagh,UK,n,
SR04,,"Section from tip of Antarctic
Peninsula to Kapp Norvegia
(approx 12° W) along the northern
edge of the Weddell gyre
(nominally 60° S); often done as a
pair with A12.",2009/10,B. King,UK,y,
,,,2011,E. Fahrbach / M. Hoppema,Germany / Netherlands,n,
Pacific,,,,,,,
P01,n,47° N,2007, T. Kawano, Japan,y,49NZ20070724
,,,,unknown,,n,
